DATE,Sales
01-01-2001,6519
01-02-2001,6654
01-03-2001,7332
01-04-2001,7332
01-05-2001,8240
01-06-2001,8104
01-07-2001,7813
01-08-2001,8279
01-09-2001,7014
01-10-2001,7985
01-11-2001,8229
01-12-2001,8618
01-01-2002,6558
01-02-2002,6882
01-03-2002,
01-04-2002,
01-05-2002,
01-06-2002,8198
01-07-2002,8396
01-08-2002,8510
01-09-2002,7589
01-10-2002,8366
01-11-2002,8156
01-12-2002,9415
01-01-2003,6765
01-02-2003,7048
01-03-2003,7856
01-04-2003,8181
01-05-2003,8581
01-06-2003,8573
01-07-2003,9008
01-08-2003,8708
01-09-2003,8074
01-10-2003,9068
01-11-2003,
01-12-2003,9981
01-01-2004,7071
01-02-2004,7339
01-03-2004,8483
01-04-2004,8536
01-05-2004,8774
01-06-2004,9355
01-07-2004,8728
01-08-2004,8835
01-09-2004,8701
01-10-2004,8709
01-11-2004,9170
01-12-2004,10499
01-01-2005,6994
01-02-2005,7675
01-03-2005,9161
01-04-2005,8699
01-05-2005,9682
01-06-2005,10198
01-07-2005,8794
01-08-2005,9935
01-09-2005,9182
01-10-2005,
01-11-2005,9684
01-12-2005,10339
01-01-2006,7507
01-02-2006,8028
01-03-2006,108
01-04-2006,8777
01-05-2006,10281
01-06-2006,10767
01-07-2006,9233
01-08-2006,10595
01-09-2006,9475
01-10-2006,10077
01-11-2006,10569
01-12-2006,10987
01-01-2007,8068
01-02-2007,8185
01-03-2007,9634
01-04-2007,
01-05-2007,11007
01-06-2007,10922
01-07-2007,10045
01-08-2007,10983
01-09-2007,9564
01-10-2007,11087
01-11-2007,10828
01-12-2007,11504
01-01-2008,8533
01-02-2008,8923
01-03-2008,9804
01-04-2008,10335
01-05-2008,11232
01-06-2008,11415
01-07-2008,10993
01-08-2008,10817
01-09-2008,10667
01-10-2008,11388
01-11-2008,10196
01-12-2008,12280
01-01-2009,8708
01-02-2009,9015
01-03-2009,
01-04-2009,10604
01-05-2009,10809
01-06-2009,11606
01-07-2009,10948
01-08-2009,10365
01-09-2009,10711
01-10-2009,10515
01-11-2009,10389
01-12-2009,12280
01-01-2010,7995
01-02-2010,8919
01-03-2010,10914
01-04-2010,10866
01-05-2010,10793
01-06-2010,11993
01-07-2010,10516
01-08-2010,10714
01-09-2010,10857
01-10-2010,10855
01-11-2010,11303
01-12-2010,12895
01-01-2011,
01-02-2011,9452
01-03-2011,11269
01-04-2011,10723
01-05-2011,11406
01-06-2011,
01-07-2011,10545
01-08-2011,11911
01-09-2011,11524
01-10-2011,11053
01-11-2011,11766
01-12-2011,12921
01-01-2012,8927
01-02-2012,10083
01-03-2012,11151
01-04-2012,10863
01-05-2012,
01-06-2012,12713
01-07-2012,11283
01-08-2012,12605
01-09-2012,10970
01-10-2012,12194
01-11-2012,12393
01-12-2012,13360
01-01-2013,9833
01-02-2013,
01-03-2013,11548
01-04-2013,11935
01-05-2013,13655
01-06-2013,12825
01-07-2013,23740
01-08-2013,12899
01-09-2013,11936
01-10-2013,12981
01-11-2013,
01-12-2013,14146
01-01-2014,9997
01-02-2014,10501
01-03-2014,11496
01-04-2014,12416
01-05-2014,13232
01-06-2014,13343
01-07-2014,12402
01-08-2014,
01-09-2014,12270
01-10-2014,13257
01-11-2014,11907
01-12-2014,14752
01-01-2015,9839
01-02-2015,10499
01-03-2015,12161
01-04-2015,
01-05-2015,12950
01-06-2015,14343
01-07-2015,13308
01-08-2015,12666
01-09-2015,
01-10-2015,
01-11-2015,12943
01-12-2015,15623
01-01-2016,10089
01-02-2016,11762
01-03-2016,13549
01-04-2016,12859
01-05-2016,13677
01-06-2016,15118
01-07-2016,
01-08-2016,14142
01-09-2016,13713
01-10-2016,13342
01-11-2016,14455
01-12-2016,15859
01-01-2017,10485
01-02-2017,11891
01-03-2017,13921
01-04-2017,
01-05-2017,14986
01-06-2017,16168
01-07-2017,12856
01-08-2017,
01-09-2017,13349
01-10-2017,14150
01-11-2017,14698
01-12-2017,15704
01-01-2018,11005
01-02-2018,11852
01-03-2018,14123
01-04-2018,13360
01-05-2018,15576
01-06-2018,16021
01-07-2018,14080
01-08-2018,15697
01-09-2018,13838
01-10-2018,15351
01-11-2018,15615
01-12-2018,16941
01-01-2019,12160
